Category,Function Name,Arguments,Result Type,Explanation,Examples
,,,,,"WeekdayAdd(ToDate(""6/24/2003""), -2) returns 6/20/2003"
,,,,,
,,,,,"If you have a date field named ""Start Date"" and that field has a value of 6/23/2003, then WeekdayAdd([Start Date], -2) returns 6/20/2003"
WorkDates,WeekdayAdd,"(WorkDate d, Number n)",WorkDate,"Returns the date obtained by adding n weekdays to the date d. The calculation includes the date d as one of the n days. For example, adding 2 days to 10/31/2003 which is a Friday will give you 11/03/2003 since it counts 10/31/2003 as 1 day and 11/03/2003 (a Monday) as the second day.","WeekdayAdd([Start],5) returns the date 5 weekdays after the date in the Start field."
,,,,,
,,,,,"WeekdayAdd(ToWorkDate(ToDate(""10/31/2003"")), 2) returns 11/03/2003"
,,,,,
,,,,,"WeekdayAdd([Field A], [Field B]) where Field A is a field of type WorkDate and Field B is a field of type Numeric. Assuming that the value of Field A is 10/31/2003 and the value of Field B is 2, the formula will return 11/03/2003"
Dates,WeekdaySub,"(Date d2, Date d1)",Number,"Returns the number of weekdays in the interval starting with d1 and ending on the day before d2 (same as subtracting Dates, but the result is the number of weekdays instead of a Duration). It is the inverse of WeekdayAdd.","WeekdaySub([Finish], [Start]) returns the number of weekdays between the dates in the Start and Finish fields."
,,,,,
,,,,,"WeekdaySub(ToDate(""6/24/2003""), ToDate(""6/20/2003"") ) returns 2"
,,,,,
Dates,WeekOfYear,(Date d),Number,Returns the number of weeks by which the given date d follows the first week of the year based on ISO standards. First day of week is a Monday. First week contains the first Thursday of January.,"WeekOfYear(ToDate(""Aug 20, 2000"")) returns 33"
,,,,,"WeekOfYear(ToDate(""Aug 20, 2000""), 1) returns 35"
Durations,Weeks,(Number n),Duration,"Returns a Duration representing n weeks. This function takes a number and converts it into a Duration type value, expressed in weeks.",Weeks(2) returns a 2 week duration
,,,,,"Weeks([Weeks until Delivery]) converts the numeric value in the Weeks until Delivery field into a duration expressed in weeks. The number doesn't change, just the data type."
WorkDates,WorkdayAdd,"(WorkDate d, Numeric n)",WorkDate,"Returns the date obtained by adding n days to the date d. The calculation includes the date d as one of the n days. For example, adding 2 days to 10/31/2003 which is a Friday will give you 11/01/2003 since it counts 10/31/2003 as 1 day and 11/01/2003 (a Saturday) as the second day.","WorkdayAdd([Order Date],7) returns the date seven days after the value in the Order Date field."
,,,,,
,,,,,"WorkdayAdd(ToWorkDate(ToDate(""10/31/2003"")), 1) returns 10/31/2003 while WorkdayAdd(ToWorkDate(ToDate(""10/31/2003"")), 2) returns 11/01/2003"
Dates,Year,(Date d),Number,Returns the year number of the Date d.,Year([Start Date]) returns the year of the date that appears in the Start Date field.
,,,,,"Year(ToDate(""Jan 10, 2000"")) returns 2000"
