Category,Function Name,Arguments,Result Type,Explanation,Examples
,,,,,2 ^ -3 returns 0.125
Numbers,Abs,(Number n),Number,Returns the absolute value of the Number n.,Abs(3.5) returns 3.5
,,,,,Abs(-3.5) returns 3.5
Durations,Abs,(Duration d),Duration,Returns the absolute value of d.,Abs(Weeks(3.5)) returns 3.5 weeks
,,,,,Abs(Weeks(-3.5)) returns 3.5 weeks
Dates,AdjustMonth,"(Date d, Number m)",Date,"Returns the date which is m months after the given date d, with the same day number. If the day doesn't exist in that month, the last day of that month is returned.","AdjustMonth([Ordered On], 3) returns the date three months after the date in the Ordered On field."
,,,,,
,,,,,"AdjustMonth(ToDate(""2/20/99""), 2) returns April 20, 1999"
,,,,,"AdjustMonth(ToDate(""4/29/99""), -2) returns February 28, 1999"
Dates,AdjustYear,"(Date d, Number y)",Date,"Returns the date which is y years after the given date d, with the same month and day. If the day doesn't exist in that month, the last day of that month is returned.","AdjustYear([Last Appt], 1) returns the date one year after the date in the Last Appt field."
,,,,,"AdjustYear([Date],-1) returns the date one year before the value in the Date field,"
,,,,,"AdjustYear(ToDate(""2/20/99""), 2) returns February 20, 2001"
,,,,,"AdjustYear(ToDate(""2/29/00""), -1) returns February 28, 1999"
Binary Operators (act on multiple values),and,"Boolean a, Boolean b",Boolean,"Returns true if a and b are both true, otherwise returns false. Use this operator to link conditions together.",(true and false) returns false
,,,,,
,,,,,"[Decision - Technical Lead]=""Approved"" and"
,,,,,"[Decision - Project Manager]=""Approved"" and "
,,,,,"[Decision - Project Sponsor]=""Approved"" "
,,,,,"returns true if all three fields contain the value ""approved"""
Special,AppID,(),Text,Returns a text value containing the database ID of the app.,"AppID() in this app returns ""6ewwzuuj"""
Aggregation,Average,"(Number n, ...)",Number,Returns the average of all the arguments (except any null values).,"Average(12, 6, null) returns 9"
,,,,,
Aggregation,Average,"(Duration d, ...)",Duration,Returns the average of all the arguments (except any null values).,"Average(Days(1), Days(3)) returns 2 days"
Aggregation,Average,"(Date d, ...)",Date,Returns the average of all the arguments (except any null values).,"Average(ToDate(""1/1/2000""), ToDate(""1/3/2000"")) returns the date 1/2/2000"
Aggregation,Average,"(Date/Time t, ...)",Date/Time,Returns the average of all the arguments (except any null values).,"average([Actual Finish], [Planned Finish])"
Aggregation,Average,"(TimeOfDay t, ...)",TimeOfDay,Returns the average of all the arguments (except any null values).,"Average([Mon Start Time], [Tues Start Time], [Wed Start Time]) returns the average of all three start times."
Encoding Functions,Base64Decode,(Text t),Text,Decodes text using base64 encoding.,"Base64Decode(""aGVsbG8gd29ybGQ="") returns ""hello world"""
Encoding Functions,Base64Encode,(Text t),Text,Encodes text using base64 encoding.,"Base64Encode(""hello world"") returns ""aGVsbG8gd29ybGQ="""
Text,Begins,"(Text u, Text v)",Boolean,"Returns true if the text u begins with the text v, otherwise returns false.","Begins(""abcdef"", ""cd"") returns false"
,,,,,"Begins(""abcdef"", ""abcd"") returns true"
Special,Case,"(<any> x, <any> val1, <any> result1, ..., <any> else-result)",<same type as result1>,"Case() is a variation of the If() function. If you want to test many conditions against a single field, use the Case() function instead of the If() function. QuickBase evaluates the value x and compares it to each of the values that follow (val1 and so on) sequentially. If the value X matches any value, QuickBase returns the corresponding result which lives behind the comma following the matched value. If value x is not equal to any of the values, QuickBase returns the else-result at the end of the formula. The else-result is optional. If omitted, QuickBase assumes it's null (empty). The value x may be of any data type, but all of the values must be of the same type as x.","Case([Grade], ""A"", 100, ""B"", 90, null)"
,,,,,
,,,,,"This formula says: If the value in the Grade field is A, then return 100. If the value in the Grade field is B, then return 90. Otherwise, return nothing (null)."
,,,,,
Rounding and Truncating,Ceil,(Number x),Number,Returns the smallest integer greater than or equal to the number x.,Ceil(3) returns 3
,,,,,Ceil(3.4) returns 4
,,,,,Ceil(-3.4) returns -3
Rounding and Truncating,Ceil,"(Number x, Number y)",Number,Returns the smallest multiple of y which is greater than or equal to x.,"Ceil(3.5, 2) returns 4"
,,,,,"Ceil(-3.5, 2) returns -2"
Rounding and Truncating,Ceil,"(Duration x, Duration y)",Duration,Returns the smallest multiple of the duration y which is greater than or equal to the duration x.,"Ceil(Days(3.5), Days(2)) returns Days(4)"
